unit_id,LRZ,capacity_mw,energy_storage_capacity_mwh,thermal_derate_name,thermal_for_profile_name,solar_profile_name,wind_profile_name
MISO_01_solar_117,01,1.0,0.0,,,MISO_01_solar_117,
MISO_01_solar_118,01,1.1,0.0,,,MISO_01_solar_118,
MISO_01_solar_119,01,1.5,0.0,,,MISO_01_solar_119,
MISO_01_solar_120,01,45.0,0.0,,,MISO_01_solar_120,
MISO_01_solar_121,01,50.0,0.0,,,MISO_01_solar_121,
MISO_01_solar_122,01,4.0,0.0,,,MISO_01_solar_122,
MISO_01_solar_123,01,200.0,0.0,,,MISO_01_solar_123,
MISO_01_solar_124,01,50.0,0.0,,,MISO_01_solar_124,
MISO_01_solar_125,01,4.0,0.0,,,MISO_01_solar_125,
MISO_01_solar_126,01,1.2,0.0,,,MISO_01_solar_126,
MISO_01_solar_127,01,5.8,0.0,,,MISO_01_solar_127,
MISO_01_solar_128,01,2.0,0.0,,,MISO_01_solar_128,
MISO_01_solar_129,01,1.5,0.0,,,MISO_01_solar_129,
MISO_01_solar_130,01,2.0,0.0,,,MISO_01_solar_130,
MISO_01_solar_131,01,5.0,0.0,,,MISO_01_solar_131,
MISO_01_solar_132,01,2.0,0.0,,,MISO_01_solar_132,
MISO_01_solar_133,01,12.0,0.0,,,MISO_01_solar_133,
MISO_01_wind_001,01,150.0,0.0,,,,MISO_01_wind_001
MISO_01_wind_002,01,199.5,0.0,,,,MISO_01_wind_002
MISO_01_wind_003,01,149.0,0.0,,,,MISO_01_wind_003
MISO_01_wind_004,01,111.9,0.0,,,,MISO_01_wind_004
MISO_01_wind_005,01,4.6,0.0,,,,MISO_01_wind_005
MISO_01_wind_007,01,25.0,0.0,,,,MISO_01_wind_007
MISO_01_wind_009,01,201.4,0.0,,,,MISO_01_wind_009
MISO_01_wind_010,01,98.6,0.0,,,,MISO_01_wind_010
MISO_01_wind_011,01,428.4,0.0,,,,MISO_01_wind_011
MISO_01_wind_012,01,200.0,0.0,,,,MISO_01_wind_012
MISO_01_wind_013,01,1.9,0.0,,,,MISO_01_wind_013
MISO_01_wind_014,01,99.3,0.0,,,,MISO_01_wind_014
MISO_01_wind_015,01,51.8,0.0,,,,MISO_01_wind_015
MISO_01_wind_016,01,603.5,0.0,,,,MISO_01_wind_016
MISO_01_wind_017,01,2.0,0.0,,,,MISO_01_wind_017
MISO_01_wind_018,01,61.5,0.0,,,,MISO_01_wind_018
MISO_01_wind_019,01,250.0,0.0,,,,MISO_01_wind_019
MISO_01_wind_020,01,200.0,0.0,,,,MISO_01_wind_020
MISO_01_wind_021,01,19.5,0.0,,,,MISO_01_wind_021
MISO_01_wind_022,01,300.0,0.0,,,,MISO_01_wind_022
MISO_01_wind_023,01,30.0,0.0,,,,MISO_01_wind_023
MISO_01_wind_024,01,155.5,0.0,,,,MISO_01_wind_024
MISO_01_wind_025,01,180.0,0.0,,,,MISO_01_wind_025
MISO_01_wind_026,01,21.0,0.0,,,,MISO_01_wind_026
MISO_01_wind_027,01,78.0,0.0,,,,MISO_01_wind_027
MISO_01_wind_028,01,3.4,0.0,,,,MISO_01_wind_028
MISO_01_wind_029,01,304.0,0.0,,,,MISO_01_wind_029
MISO_01_wind_030,01,20.0,0.0,,,,MISO_01_wind_030
MISO_01_wind_031,01,4.0,0.0,,,,MISO_01_wind_031
MISO_01_wind_032,01,200.1,0.0,,,,MISO_01_wind_032
MISO_01_wind_033,01,200.6,0.0,,,,MISO_01_wind_033
MISO_01_wind_034,01,200.0,0.0,,,,MISO_01_wind_034
MISO_01_wind_035,01,20.0,0.0,,,,MISO_01_wind_035
MISO_01_wind_036,01,300.0,0.0,,,,MISO_01_wind_036
MISO_01_wind_037,01,2.5,0.0,,,,MISO_01_wind_037
MISO_01_wind_038,01,364.0,0.0,,,,MISO_01_wind_038
MISO_01_wind_039,01,4.800000000000001,0.0,,,,MISO_01_wind_039
MISO_01_wind_040,01,50.4,0.0,,,,MISO_01_wind_040
MISO_01_wind_041,01,2.0,0.0,,,,MISO_01_wind_041
MISO_01_wind_042,01,6.5,0.0,,,,MISO_01_wind_042
MISO_01_wind_043,01,5.0,0.0,,,,MISO_01_wind_043
MISO_01_wind_044,01,91.6,0.0,,,,MISO_01_wind_044
MISO_02_BatteryStorage_003,02,5.0,10.0,,,,
MISO_02_BatteryStorage_004,02,100.0,440.0,,,,
MISO_02_BatteryStorage_005,02,0.3,0.4,,,,
MISO_02_Coal_001,02,413.7,0.0,MISO_02_Conventional_Steam_Coal_RC_010,MISO_02_ST_018,,
MISO_02_Coal_002,02,1112.0,0.0,MISO_02_Conventional_Steam_Coal_RC_011,MISO_02_ST_019,,
MISO_02_Coal_003,02,2044.1999999999998,0.0,MISO_02_Conventional_Steam_Coal_RC_020,MISO_02_ST_028,,
MISO_02_FuelOil_004,02,5.0,0.0,,MISO_02_CT_001,,
MISO_02_FuelOil_005,02,25.0,0.0,,MISO_02_CT_009,,
MISO_02_FuelOil_006,02,8.299999999999999,0.0,,MISO_02_CT_010,,
MISO_02_FuelOil_007,02,6.6,0.0,,MISO_02_CT_014,,
